latency_s,history_s,n_seconds,accuracy,kappa,macro_f1,f1_W,f1_N1,f1_N2,f1_N3,f1_REM
169,71,194923,0.7681,0.6891,0.7165,0.8955,0.4434,0.7961,0.7026,0.7450
170,70,194923,0.7679,0.6888,0.7164,0.8955,0.4425,0.7955,0.7032,0.7451
171,69,194923,0.7666,0.6871,0.7149,0.8944,0.4400,0.7945,0.7022,0.7433
172,68,194923,0.7652,0.6852,0.7133,0.8937,0.4374,0.7928,0.6999,0.7427
173,67,194923,0.7635,0.6829,0.7112,0.8928,0.4335,0.7914,0.6970,0.7411
174,66,194923,0.7624,0.6814,0.7099,0.8923,0.4320,0.7899,0.6958,0.7396
175,65,194923,0.7613,0.6800,0.7087,0.8919,0.4304,0.7886,0.6941,0.7384
176,64,194923,0.7603,0.6786,0.7073,0.8914,0.4294,0.7876,0.6913,0.7368
177,63,194923,0.7588,0.6766,0.7054,0.8908,0.4262,0.7858,0.6887,0.7354
178,62,194923,0.7581,0.6756,0.7044,0.8907,0.4254,0.7852,0.6870,0.7339
179,61,194923,0.7567,0.6738,0.7031,0.8896,0.4222,0.7840,0.6871,0.7326
180,60,194923,0.7691,0.6905,0.7162,0.8996,0.4367,0.7981,0.7073,0.7392
181,59,194923,0.7696,0.6911,0.7167,0.8997,0.4385,0.7984,0.7076,0.7393
182,58,194923,0.7696,0.6910,0.7167,0.8996,0.4391,0.7988,0.7081,0.7378
183,57,194923,0.7699,0.6914,0.7169,0.9002,0.4401,0.7987,0.7073,0.7381
184,56,194923,0.7696,0.6910,0.7165,0.9003,0.4398,0.7978,0.7061,0.7383
185,55,194923,0.7690,0.6904,0.7158,0.9001,0.4399,0.7973,0.7051,0.7366
186,54,194923,0.7689,0.6902,0.7158,0.8996,0.4409,0.7976,0.7053,0.7354
187,53,194923,0.7686,0.6898,0.7153,0.8992,0.4388,0.7976,0.7068,0.7342
188,52,194923,0.7687,0.6900,0.7153,0.9001,0.4402,0.7975,0.7056,0.7329
189,51,194923,0.7673,0.6880,0.7136,0.8990,0.4361,0.7965,0.7049,0.7317
190,50,194923,0.7668,0.6874,0.7129,0.8988,0.4364,0.7963,0.7035,0.7295
191,49,194923,0.7660,0.6864,0.7119,0.8989,0.4357,0.7950,0.7020,0.7276
192,48,194923,0.7648,0.6848,0.7103,0.8984,0.4320,0.7943,0.7015,0.7255
193,47,194923,0.7638,0.6834,0.7093,0.8972,0.4304,0.7934,0.7008,0.7248
194,46,194923,0.7627,0.6819,0.7077,0.8969,0.4280,0.7923,0.6992,0.7221
195,45,194923,0.7607,0.6793,0.7055,0.8962,0.4247,0.7900,0.6970,0.7196
196,44,194923,0.7589,0.6770,0.7033,0.8952,0.4209,0.7889,0.6952,0.7161
197,43,194923,0.7577,0.6753,0.7018,0.8946,0.4207,0.7871,0.6920,0.7146
